"동서트레일 충남·경북 구간별 상세 현황 (1~12, 47~55구간)",,,,,,,
,,,,,,,
구간,주요 코스,거리 (km),소요 시간,난이도,쉼터 / 대피소명,소재지 주소,지역 맛과 멋 (연계 관광/먹거리)
1구간,안면도 자연휴양림 ~ 안면도 수목원 ~ 방포해수욕장 ~ 백사장항,13.8,2시간 30분,2등급,동서트레일 꽃지안내소 / 꽃지간이대피소(조성중),충남 태안군 안면읍 승언리 339-355,"안면도 게국지·육쪽마늘, 꽃지해수욕장 일몰 감상"
1구간,안면도 자연휴양림 ~ 안면도 수목원 ~ 방포해수욕장 ~ 백사장항,13.8,2시간 30분,2등급,안면도 자연휴양림(숲나들e 사전예약 필요),충남 태안군 안면읍 승언리 135,"안면도자연휴양림 산림욕, 두여·방포해수욕장 해안 트레킹"
2구간,백사장항 ~ 청포대해수욕장 ~ 몽산포해수욕장,12.1,2시간 30분,2등급,동서트레일 별주부마을안내소 / 별주부마을대피소,충남 태안군 남면 원청리 587-23,"황토호박고구마·송화소금, 별주부전 테마마을 체험"
2구간,백사장항 ~ 청포대해수욕장 ~ 몽산포해수욕장,12.1,2시간 30분,2등급,별주부 체험마을,충남 태안군 남면 별주부길 102,"안면도쥬라기박물관, 태안백합꽃축제, 청포대해변 경관"
3구간,몽산포해수욕장 ~ 진산리 해변 ~ 태안읍행정복지센터,15.6,3시간 30분,3등급,몽산포 야영장(국립공원공단 예약시스템 사전예약 필요),충남 태안군 남면 몽산포길 63-43,"바지락·박속밀국낙지탕, 몽산포 해변 솔숲 야영"
4구간,태안읍행정복지센터 ~ 흥주사 ~ 오석산 ~ 팔봉산 주차장(어송리),12.2,3시간 15분,3등급,흥주사대피소,충남 태안군 태안읍 상옥리 산 118-4,"주꾸미·물텀뱅이탕, 동학농민기념관 탐방"
4구간,태안읍행정복지센터 ~ 흥주사 ~ 오석산 ~ 팔봉산 주차장(어송리),12.2,3시간 15분,3등급,어은리간이대피소,충남 태안군 태안읍 어은리 산 7-1,"백화산·팔봉산 등산, 태안읍성 일원 산책"
5구간,팔봉산 주차장 ~ 금강산 ~ 서산종합운동장 ~ 율목리마을,19.3,-,3등급,동서트레일 서산안내소 / 서산대피소(조성중),충남 서산시 인지면 풍전리 산4,"서산한우·생강한과, 팔봉산 암릉 트레킹"
6구간,율목리마을 ~ 간대산 ~ 황소고개 ~ 안국사지 ~ 수당리 ~ 성당초등학교 ~ 삼웅2리,19.1,-,2등급,간대산대피소,충남 서산시 음암면 문양리 157-14,"뜸부기쌀·감태, 간대산·안국사지(매향비) 탐방"
7구간,삼웅2리 ~ 대치리 ~ 팔중리 ~ 용현리,11.8,-,2등급,영탑사대피소,충남 당진시 면천면 성하리 산70,"면천어죽·면천두견주, 면천읍성 산책"
7구간,삼웅2리 ~ 대치리 ~ 팔중리 ~ 용현리,11.8,-,2등급,고풍리대피소,충남 서산시 운산면 고풍리 323,"영탑사, 서산마애여래삼존상 탐방"
8구간,용현리 ~ 상가리 ~ 옥계리 ~ 대치리 ~ 시량리 ~ 충의사,18.6,-,3등급,동서트레일 예산안내소,충남 예산군 덕산면 상가리 298-2,"예당민물어죽·수덕사 산채정식, 수덕사 사찰 탐방"
8구간,용현리 ~ 상가리 ~ 옥계리 ~ 대치리 ~ 시량리 ~ 충의사,18.6,-,3등급,옥계리간이대피소,충남 예산군 덕산면 옥계리 156,"서산마애여래삼존상, 내포문화숲길 걷기"
8구간,용현리 ~ 상가리 ~ 옥계리 ~ 대치리 ~ 시량리 ~ 충의사,18.6,-,3등급,국립용현자연휴양림,충남 서산시 운산면 용현리 산2-37,국립용현자연휴양림 산림욕
9구간,충의사 ~ 둔리 ~ 수암산 ~ 용봉산 ~ 상하리 ~ 중계리 ~ 이응노 생가,11.2,2시간 40분,2등급,동서트레일 용봉산주차장안내소 / 용봉산주차장대피소,충남 홍성군 홍북읍 상하리 564-18,"홍성한우·재래맛김, 용봉산 능선 트레킹"
9구간,충의사 ~ 둔리 ~ 수암산 ~ 용봉산 ~ 상하리 ~ 중계리 ~ 이응노 생가,11.2,2시간 40분,2등급,덕산온천단지,충남 예산군 덕산면 신평리 513 일원,"덕산온천 휴양, 이응노생가기념관 관람"
10구간,이응노 생가 ~ 홍천문화마을 ~ 백월산 ~ 황곡리 ~ 내포문화숲길 홍성센터(남장리),9.4,2시간 30분,3등급,백월산간이대피소(비상시),충남 홍성군 홍성읍 월산리(백월산 코끼리바위 옆),"홍성한우·토굴새우젓, 백월산 코끼리바위 조망"
10구간,이응노 생가 ~ 홍천문화마을 ~ 백월산 ~ 황곡리 ~ 내포문화숲길 홍성센터(남장리),9.4,2시간 30분,3등급,동서트레일 홍성안내소 / 홍성대피소,충남 홍성군 홍성읍 남장리 437,"남당리 새조개, 홍성민속테마박물관 관람"
11구간,내포문화숲길 홍성센터 ~ 척괴마을 ~ 그림같은수목원 ~ 광천읍 ~ 오서산 상담마을,15.4,3시간 20분,3등급,동서트레일 홍성안내소 / 홍성대피소,충남 홍성군 홍성읍 남장리 437,"홍성한우·토굴새우젓, 광천 토굴새우젓 시장"
11구간,내포문화숲길 홍성센터 ~ 척괴마을 ~ 그림같은수목원 ~ 광천읍 ~ 오서산 상담마을,15.4,3시간 20분,3등급,그림같은수목원 인근 간이대피소,충남 홍성군 광천읍 매현리 451,그림같은수목원 산책
11구간,내포문화숲길 홍성센터 ~ 척괴마을 ~ 그림같은수목원 ~ 광천읍 ~ 오서산 상담마을,15.4,3시간 20분,3등급,오서산산촌마을대피소,충남 홍성군 광천읍 담산리 752,오서산 억새 능선 조망
11구간,내포문화숲길 홍성센터 ~ 척괴마을 ~ 그림같은수목원 ~ 광천읍 ~ 오서산 상담마을,15.4,3시간 20분,3등급,하누리마을,충남 홍성군 광천읍 매현1길 2,하누리마을 농촌 체험
12구간,오서산 상담마을 ~ 정암사 ~ 내원사 ~ 기러기재 ~ 대현1리 마을회관,10.6,4시간 40분,2등급,오서산산촌마을대피소,충남 홍성군 광천읍 담산리 752,"홍성한우·토굴새우젓, 오서산 정상 억새 감상"
12구간,오서산 상담마을 ~ 정암사 ~ 내원사 ~ 기러기재 ~ 대현1리 마을회관,10.6,4시간 40분,2등급,대현리마을회관대피소,충남 홍성군 장곡면 대현리 458-9,장곡산성·한국식기박물관 탐방
47구간,오전약수 관광지 - 박달령 - 주실령 - 국립백두대간수목원 - 도심3리 마을회관 - 수진교,18.2,4시간,3등급,동서트레일 봉화객주안내소,경북 봉화군 물야면 모전리 95-31,"봉화객주 참나무 화덕피자, 국립백두대간수목원 탐방"
47구간,오전약수 관광지 - 박달령 - 주실령 - 국립백두대간수목원 - 도심3리 마을회관 - 수진교,18.2,4시간,3등급,오전약수대피소,경북 봉화군 물야면 오진리 산 7-4,"오전약수 맛보기, 백두대간 자연경관"
47구간,오전약수 관광지 - 박달령 - 주실령 - 국립백두대간수목원 - 도심3리 마을회관 - 수진교,18.2,4시간,3등급,도심3리간이대피소,경북 봉화군 춘양면 도심리 1358,"도심리 마을 풍경, 한적한 쉼터"
48구간,수진교 ~ 거포재 ~ 한국산림과학고등학교 ~ 춘양면행정복지센터,10.9,2시간 20분,1등급,동서트레일 춘양안내소 (춘양대피소),경북 봉화군 춘양면 의양리 417-5,"봉화 송이버섯, 춘양 사과, 억지춘양시장, 만산고택"
49구간,춘양면행정복지센터 ~ 부개재 고개 ~ 현동삼거리,11.9,2시간 50분,2등급,동서트레일 춘양안내소 (춘양대피소),경북 봉화군 춘양면 의양리 417-5,"지역 별미 순두부, 송어회, 석조여래입상 관람"
50구간,현동삼거리 ~ 현동3리마을숲 ~ 분천리마을회관 ~ 깊이박골 ~ 분천역,15.4,3시간 20분,3등급,현동3리마을숲간이대피소,경북 봉화군 소천면 현동리 1059-1,"봉화송이 요리, 분천리 도로마리집(묵요리)"
50구간,현동삼거리 ~ 현동3리마을숲 ~ 분천리마을회관 ~ 깊이박골 ~ 분천역,15.4,3시간 20분,3등급,동서트레일 분천안내소,경북 봉화군 소천면 분천리 935-81,"분천산타마을 투어, 이색 포토존"
51구간,분천역 - 척구마을 - 비동마을 - 승부역 ~ 양원역 - 전곡리 마을회관,15.2,3시간 30분,1~5등급,동서트레일 분천안내소,경북 봉화군 소천면 분천리 935-81,"분천산타마을, 양원역/승부역 기차여행 감성"
51구간,분천역 - 척구마을 - 비동마을 - 승부역 ~ 양원역 - 전곡리 마을회관,15.2,3시간 30분,1~5등급,척구마을간이대피소,경북 봉화군 소천면 분천리 2102,"영동선 개통기념비, 낙동강 비경 트레킹"
52구간,전곡리 마을회관 ~ 전곡1길 갈림길 ~ 큰넓재 ~ 한나무재 ~ 소광3교 ~ 소광2리(금강송펜션),12,3시간 10분,3등급,동서트레일 전곡리안내소 (전곡리대피소),경북 울진군 금강송면 전곡리 315-3,"전곡리 마을 무릉계곡 풍경, 원시림 숲길"
52구간,전곡리 마을회관 ~ 전곡1길 갈림길 ~ 큰넓재 ~ 한나무재 ~ 소광3교 ~ 소광2리(금강송펜션),12,3시간 10분,3등급,넓재간이대피소,경북 울진군 금강송면 쌍전리 산152,"큰넓재 고갯길 풍경, 산림욕"
52구간,전곡리 마을회관 ~ 전곡1길 갈림길 ~ 큰넓재 ~ 한나무재 ~ 소광3교 ~ 소광2리(금강송펜션),12,3시간 10분,3등급,소광리대피소,경북 울진군 금강송면 소광리 657,세계적인 울진 금강소나무숲길 탐방
